position,n,cls_error_rate,median_abs_time_error,mean_abs_time_error,p90_abs_time_error,p95_abs_time_error,mean_confidence,score
13,465,0.0,2.637601852416992,2.364911849332112,3.6044807434082036,3.846924400329588,0.9997647521316364,2.364911849332112
35,465,0.0,1.860992431640625,2.0830408166172685,4.199492192268372,4.692227172851561,0.9996539304572635,2.0830408166172685
18,465,0.0,1.7045783996582031,1.8744270055524765,3.6980270385742213,4.15062255859375,0.9997954827454799,1.8744270055524765
9,465,0.0,1.7012786865234375,1.7661737739398915,2.862687683105469,3.132879638671875,0.9994923727486723,1.7661737739398915
19,465,0.0,1.4690637588500977,1.6749403192150978,3.311336326599121,3.9154132843017564,0.9947143966602012,1.6749403192150978
27,465,0.0,1.3231735229492188,1.6739327581979895,3.564560699462891,3.990744400024414,0.9995448094028613,1.6739327581979895
15,465,0.0,1.491140365600586,1.5820878761750397,2.7258777618408203,3.3367675781249995,0.9986480336035451,1.5820878761750397
8,930,0.0,1.230097770690918,1.3510877964637613,2.61965970993042,2.9071521759033203,0.9997056105235377,1.3510877964637613
24,465,0.0,1.0525741577148438,1.2786315061712779,2.6970628738403337,3.161137771606441,0.9997172278515696,1.2786315061712779
6,930,0.06774193548387097,0.7573757171630859,1.0317291416788614,2.3452770233154308,2.9588464736938476,0.9925349172276353,1.1672130126466034
11,465,0.0,0.8582229614257812,1.0780638335853494,2.197214508056641,2.7130992889404286,0.9996297882411186,1.0780638335853494
34,465,0.002150537634408602,0.8137054443359375,0.9348786516535667,1.9096289157867437,2.2010246276855465,0.9965535286293234,0.9391797269223838
26,465,0.021505376344086023,0.708099365234375,0.8894829428324136,1.9271186828613283,2.379351043701169,0.97889492463681,0.9324936955205856
36,465,0.0,0.7811546325683594,0.9118966149346482,1.9787543296813968,2.3226881027221675,0.9990663410514914,0.9118966149346482
