tiff_name,n,cls_error_rate,median_abs_time_error,mean_abs_time_error,p90_abs_time_error,p95_abs_time_error,mean_confidence,score
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p13_t0-94_ec.tiff,465,0.0,2.637601852416992,2.364911849332112,3.6044807434082036,3.846924400329588,0.9997647521316364,2.364911849332112
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p35_t0-94_ec.tiff,465,0.0,1.860992431640625,2.0830408166172685,4.199492192268372,4.692227172851561,0.9996539304572635,2.0830408166172685
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p18_t0-94_ec.tiff,465,0.0,1.7045783996582031,1.8744270055524765,3.6980270385742213,4.15062255859375,0.9997954827454799,1.8744270055524765
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p9_t0-94_ec.tiff,465,0.0,1.7012786865234375,1.7661737739398915,2.862687683105469,3.132879638671875,0.9994923727486723,1.7661737739398915
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p19_t0-94_ec.tiff,465,0.0,1.4690637588500977,1.6749403192150978,3.311336326599121,3.9154132843017564,0.9947143966602012,1.6749403192150978
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p27_t0-94_ec.tiff,465,0.0,1.3231735229492188,1.6739327581979895,3.564560699462891,3.990744400024414,0.9995448094028613,1.6739327581979895
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p15_t0-94_ec.tiff,465,0.0,1.491140365600586,1.5820878761750397,2.7258777618408203,3.3367675781249995,0.9986480336035451,1.5820878761750397
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p8_t0-94_ec.tiff,465,0.0,1.620260238647461,1.5769881374092511,2.7101802825927734,3.025218009948729,0.9996585626755992,1.5769881374092511
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p6_t0-94_ec.tiff,465,0.13548387096774195,0.7378273010253906,1.0576734096773208,2.498886871337891,3.218270111083983,0.9851669593413125,1.3286411516128047
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p24_t0-94_ec.tiff,465,0.0,1.0525741577148438,1.2786315061712779,2.6970628738403337,3.161137771606441,0.9997172278515696,1.2786315061712779
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p8_t0-94_ec.tiff,465,0.0,0.9812297821044922,1.1251874555182713,2.2359796524047852,2.6970367431640616,0.9997526583714763,1.1251874555182713
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p11_t0-94_ec.tiff,465,0.0,0.8582229614257812,1.0780638335853494,2.197214508056641,2.7130992889404286,0.9996297882411186,1.0780638335853494
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_c4_p6_t0-94_ec.tiff,465,0.0,0.7910690307617188,1.0057848736804018,2.194651031494141,2.7446027755737297,0.9999028751139583,1.0057848736804018
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p34_t0-94_ec.tiff,465,0.002150537634408602,0.8137054443359375,0.9348786516535667,1.9096289157867437,2.2010246276855465,0.9965535286293234,0.9391797269223838
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p26_t0-94_ec.tiff,465,0.021505376344086023,0.708099365234375,0.8894829428324136,1.9271186828613283,2.379351043701169,0.97889492463681,0.9324936955205856
20251023hbmvecp510x30minintervalinfectedvsuninfected_s5_b2_p36_t0-94_ec.tiff,465,0.0,0.7811546325683594,0.9118966149346482,1.9787543296813968,2.3226881027221675,0.9990663410514914,0.9118966149346482
