metric,mean,std,min,max
cls_accuracy,0.9925271739130433,0.0009607429092208765,0.9911684782608695,0.9938858695652174
cls_precision,0.9994467496542185,0.0011065006915629283,0.9972337482710927,1.0
cls_recall,0.9854395604395606,0.0028284698189525036,0.9821428571428571,0.9903846153846154
cls_f1,0.9923900073460621,0.0009910049021418124,0.990990990990991,0.9937973811164714
cls_auc,0.9998319892473118,5.4294210905450194e-05,0.9997452144629564,0.9999150714876521
reg_mae,1.1762178897857667,0.09701423049759968,1.0428152084350586,1.2919448614120483
reg_rmse,1.491163396835327,0.10205792887169252,1.356870412826538,1.6263617277145386
